School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
,,,Air_Force_23,,,,,,57.0,Air_Force_23,MWC,"$67,422,052.00"
Akron,"$371,234.00",2021-22,Akron_22,2022.0,Akron,13.0,64.0,76.7,,,,
Akron,"$398,461.00",2022-23,Akron_23,,,,,,112.0,Akron_23,MAC,"$30,290,134.00"
Alabama,"$19,047,972.00",2021-22,Alabama_22,2022.0,Alabama,6.0,64.0,85.2,,,,
Alabama,"$20,592,916.00",2022-23,Alabama_23,2023.0,Alabama,1.0,16.0,92.6,3.0,Alabama_23,SEC,"$195,881,911.00"
,,,Alabama_A&M_23,,,,,,197.0,Alabama_A&M_23,SWAC,"$14,189,129.00"
,,,Alabama_State_23,,,,,,192.0,Alabama_State_23,SWAC,"$17,892,138.00"
,,,Alabama_at_Birmingham_23,,,,,,89.0,Alabama_at_Birmingham_23,CUSA,"$39,890,894.00"
,,,Albany_23,,,,,,126.0,Albany_23,AmEast,"$27,056,948.00"
,,,Alcorn_State_23,,,,,,229.0,Alcorn_State_23,SWAC,"$6,863,951.00"
App State,"$427,907.00",2021-22,App_State_22,,,,,,,,,
App State,"$553,384.00",2022-23,App_State_23,,,,,,,,,
,,,Appalachian_State_23,,,,,,88.0,Appalachian_State_23,SBC,"$38,565,701.00"
Arizona,"$26,149,282.00",2021-22,Arizona_22,2022.0,Arizona,1.0,16.0,90.9,,,,
Arizona,"$26,655,146.00",2022-23,Arizona_23,2023.0,Arizona,2.0,64.0,89.0,31.0,Arizona_23,Pac-12,"$124,944,926.00"
,,,Arizona_St._23,2023.0,Arizona St.,11.0,64.0,80.3,,,,
Arizona State,"$9,472,323.00",2021-22,Arizona_State_22,,,,,,,,,
Arizona State,"$10,071,121.00",2022-23,Arizona_State_23,,,,,,33.0,Arizona_State_23,Pac-12,"$124,008,192.00"
,,,Arkansas-Little_Rock_23,,,,,,199.0,Arkansas-Little_Rock_23,OVC,"$13,928,945.00"
,,,Arkansas-Pine_Bluff_23,,,,,,226.0,Arkansas-Pine_Bluff_23,SWAC,"$8,689,626.00"
Arkansas,"$24,004,405.00",2021-22,Arkansas_22,2022.0,Arkansas,4.0,8.0,86.8,,,,
Arkansas,"$19,341,299.00",2022-23,Arkansas_23,2023.0,Arkansas,8.0,16.0,85.1,20.0,Arkansas_23,SEC,"$144,319,041.00"
Arkansas State,"$948,956.00",2021-22,Arkansas_State_22,,,,,,,,,
Arkansas State,"$629,619.00",2022-23,Arkansas_State_23,,,,,,107.0,Arkansas_State_23,SBC,"$32,376,515.00"
