School Name,Generated Revenue,Seed Rank,Year,Key
San Diego State,"$7,384,360.00",8,2021-22,San_Diego_State_22
Connecticut,"$5,957,808.00",5,2021-22,Connecticut_22
Oklahoma State,"$11,360,616.00",,2021-22,Oklahoma_State_22
Virginia,"$14,625,549.00",,2021-22,Virginia_22
Wisconsin,"$15,873,074.00",3,2021-22,Wisconsin_22
Louisville,"$35,444,073.00",,2021-22,Louisville_22
Missouri,"$11,838,733.00",,2021-22,Missouri_22
Tennessee,"$19,184,123.00",3,2021-22,Tennessee_22
Kansas State,"$12,614,477.00",,2021-22,Kansas_State_22
Georgia Tech,"$12,425,566.00",,2021-22,Georgia_Tech_22
Auburn,"$16,942,072.00",2,2021-22,Auburn_22
Florida State,"$16,963,568.00",,2021-22,Florida_State_22
Maryland,"$12,697,587.00",,2021-22,Maryland_22
UCLA,"$12,736,321.00",4,2021-22,UCLA_22
Oregon State,"$6,139,494.00",,2021-22,Oregon_State_22
Penn State,"$10,913,782.00",,2021-22,Penn_State_22
Utah,"$11,801,523.00",,2021-22,Utah_22
Alabama,"$19,047,972.00",6,2021-22,Alabama_22
Virginia Tech,"$13,799,621.00",11,2021-22,Virginia_Tech_22
Kansas,"$17,126,971.00",1,2021-22,Kansas_22
Georgia,"$12,029,584.00",,2021-22,Georgia_22
Indiana,"$25,955,324.00",12,2021-22,Indiana_22
Rutgers,"$4,660,552.00",11,2021-22,Rutgers_22
New Mexico,"$3,160,407.00",,2021-22,New_Mexico_22
NC State,"$16,179,177.00",,2021-22,NC_State_22
Oklahoma,"$13,659,156.00",,2021-22,Oklahoma_22
Kentucky,"$31,256,132.00",2,2021-22,Kentucky_22
South Florida,"$1,675,956.00",,2021-22,South_Florida_22
Nevada,"$6,314,076.00",,2021-22,Nevada_22
FAU,"$760,314.00",,2021-22,FAU_22
West Virginia,"$15,080,398.00",,2021-22,West_Virginia_22
UCF,"$3,629,955.00",,2021-22,UCF_22
Hawaii,"$949,703.00",,2021-22,Hawaii_22
Arizona State,"$9,472,323.00",,2021-22,Arizona_State_22
Mississippi State,"$8,540,438.00",,2021-22,Mississippi_State_22
Ohio State,"$23,640,053.00",7,2021-22,Ohio_State_22
LSU,"$11,524,430.00",6,2021-22,LSU_22
Arizona,"$26,149,282.00",1,2021-22,Arizona_22
Clemson,"$9,191,027.00",,2021-22,Clemson_22
Nebraska,"$17,052,987.00",,2021-22,Nebraska_22
Iowa State,"$15,676,249.00",11,2021-22,Iowa_State_22
Iowa,"$14,601,251.00",5,2021-22,Iowa_22
Colorado,"$9,059,619.00",,2021-22,Colorado_22
East Carolina,"$651,293.00",,2021-22,East_Carolina_22
James Madison,"$457,446.00",,2021-22,James_Madison_22
Toledo,"$731,183.00",,2021-22,Toledo_22
Eastern Michigan,"$317,900.00",,2021-22,Eastern_Michigan_22
Ball State,"$380,266.00",,2021-22,Ball_State_22
South Alabama,"$569,465.00",,2021-22,South_Alabama_22
Kent State,"$294,428.00",,2021-22,Kent_State_22
Central Michigan,"$563,361.00",,2021-22,Central_Michigan_22
Southern Mississippi,"$353,434.00",,2021-22,Southern_Mississippi_22
Wyoming,"$1,782,551.00",12,2021-22,Wyoming_22
"Louisiana, Lafayette","$1,380,229.00",,2021-22,"Louisiana,_Lafayette_22"
Marshall,"$1,949,299.00",,2021-22,Marshall_22
Massachusetts,"$587,017.00",,2021-22,Massachusetts_22
Troy,"$256,827.00",,2021-22,Troy_22
App State,"$427,907.00",,2021-22,App_State_22
Utah State,"$1,809,649.00",,2021-22,Utah_State_22
Old Dominion,"$1,591,045.00",,2021-22,Old_Dominion_22
San Jose State,"$131,068.00",,2021-22,San_Jose_State_22
UTEP,"$3,838,542.00",,2021-22,UTEP_22
Miami (Ohio),"$476,262.00",,2021-22,Miami_(Ohio)_22
Washington State,"$7,001,837.00",,2021-22,Washington_State_22
UTSA,"$306,876.00",,2021-22,UTSA_22
North Texas,"$610,048.00",,2021-22,North_Texas_22
Buffalo,"$756,180.00",,2021-22,Buffalo_22
Charlotte,"$665,127.00",,2021-22,Charlotte_22
Texas State,"$357,034.00",,2021-22,Texas_State_22
Akron,"$371,234.00",13,2021-22,Akron_22
"Louisiana, Monroe","$384,072.00",,2021-22,"Louisiana,_Monroe_22"
Texas A&M,"$12,877,528.00",,2021-22,Texas_A&M_22
Cincinnati,"$4,365,263.00",,2021-22,Cincinnati_22
Florida,"$12,909,681.00",,2021-22,Florida_22
Fresno State,"$1,604,749.00",,2021-22,Fresno_State_22
Middle Tennessee,"$773,230.00",,2021-22,Middle_Tennessee_22
Georgia Southern,"$449,636.00",,2021-22,Georgia_Southern_22
Coastal Carolina,"$195,561.00",,2021-22,Coastal_Carolina_22
Northern Illinois,"$589,140.00",,2021-22,Northern_Illinois_22
Bowling Green,"$1,148,957.00",,2021-22,Bowling_Green_22
Ohio,"$1,253,993.00",,2021-22,Ohio_22
Texas Tech,"$15,590,989.00",3,2021-22,Texas_Tech_22
Houston,"$2,336,025.00",5,2021-22,Houston_22
Georgia State,"$233,767.00",16,2021-22,Georgia_State_22
Ole Miss,"$12,209,564.00",,2021-22,Ole_Miss_22
Western Michigan,"$679,656.00",,2021-22,Western_Michigan_22
Louisiana Tech,"$1,215,052.00",,2021-22,Louisiana_Tech_22
New Mexico State,"$1,766,157.00",12,2021-22,New_Mexico_State_22
Boise State,"$4,838,586.00",8,2021-22,Boise_State_22
Michigan,"$21,141,253.00",11,2021-22,Michigan_22
FIU,"$480,281.00",,2021-22,FIU_22
Colorado State,"$2,427,322.00",6,2021-22,Colorado_State_22
Minnesota,"$17,667,197.00",,2021-22,Minnesota_22
Arkansas State,"$948,956.00",,2021-22,Arkansas_State_22
Western Kentucky,"$1,428,802.00",,2021-22,Western_Kentucky_22
North Carolina,"$32,234,012.00",8,2021-22,North_Carolina_22
Memphis,"$5,873,945.00",9,2021-22,Memphis_22
South Carolina,"$12,391,571.00",,2021-22,South_Carolina_22
Texas,"$23,958,575.00",6,2021-22,Texas_22
California,"$8,618,850.00",,2021-22,California_22
Washington,"$12,208,056.00",,2021-22,Washington_22
Oregon,"$11,779,409.00",,2021-22,Oregon_22
Illinois,"$29,343,934.00",4,2021-22,Illinois_22
UNLV,"$8,148,406.00",,2021-22,UNLV_22
Michigan State,"$28,099,386.00",7,2021-22,Michigan_State_22
Purdue,"$18,911,360.00",3,2021-22,Purdue_22
Arkansas,"$24,004,405.00",4,2021-22,Arkansas_22
Total,"$928,800,517.00",,2021-22,Total_22
Average,"$8,680,378.00",,2021-22,Average_22
San Diego State,"$12,900,328.00",5,2022-23,San_Diego_State_23
Connecticut,"$10,630,760.00",4,2022-23,Connecticut_23
Oklahoma State,"$14,991,097.00",,2022-23,Oklahoma_State_23
Virginia,"$18,199,143.00",4,2022-23,Virginia_23
Wisconsin,"$19,127,691.00",,2022-23,Wisconsin_23
Louisville,"$38,452,775.00",,2022-23,Louisville_23
Missouri,"$14,657,876.00",7,2022-23,Missouri_23
Tennessee,"$21,866,636.00",4,2022-23,Tennessee_23
Kansas State,"$15,206,519.00",3,2022-23,Kansas_State_23
Georgia Tech,"$14,775,111.00",,2022-23,Georgia_Tech_23
Auburn,"$19,085,672.00",9,2022-23,Auburn_23
Florida State,"$19,065,253.00",,2022-23,Florida_State_23
Maryland,"$14,682,529.00",8,2022-23,Maryland_23
UCLA,"$14,514,248.00",2,2022-23,UCLA_23
Oregon State,"$7,838,931.00",,2022-23,Oregon_State_23
Penn State,"$12,583,316.00",10,2022-23,Penn_State_23
Utah,"$13,392,643.00",,2022-23,Utah_23
Alabama,"$20,592,916.00",1,2022-23,Alabama_23
Virginia Tech,"$15,174,462.00",11,2022-23,Virginia_Tech_23
Kansas,"$18,347,052.00",1,2022-23,Kansas_23
Georgia,"$13,116,828.00",,2022-23,Georgia_23
Indiana,"$26,940,286.00",4,2022-23,Indiana_23
Rutgers,"$5,613,639.00",,2022-23,Rutgers_23
New Mexico,"$4,112,983.00",,2022-23,New_Mexico_23
NC State,"$17,090,330.00",11,2022-23,NC_State_23
Oklahoma,"$14,556,815.00",,2022-23,Oklahoma_23
Kentucky,"$32,117,351.00",6,2022-23,Kentucky_23
South Florida,"$2,488,514.00",,2022-23,South_Florida_23
Nevada,"$7,090,897.00",11,2022-23,Nevada_23
FAU,"$1,433,028.00",9,2022-23,FAU_23
West Virginia,"$15,739,137.00",9,2022-23,West_Virginia_23
UCF,"$4,261,890.00",,2022-23,UCF_23
Hawaii,"$1,564,485.00",,2022-23,Hawaii_23
Arizona State,"$10,071,121.00",11,2022-23,Arizona_State_23
Mississippi State,"$9,078,561.00",11,2022-23,Mississippi_State_23
Ohio State,"$24,162,936.00",,2022-23,Ohio_State_23
LSU,"$12,031,865.00",,2022-23,LSU_23
Arizona,"$26,655,146.00",2,2022-23,Arizona_23
Clemson,"$9,686,429.00",,2022-23,Clemson_23
Nebraska,"$17,500,617.00",,2022-23,Nebraska_23
Iowa State,"$16,120,049.00",6,2022-23,Iowa_State_23
Iowa,"$14,984,166.00",8,2022-23,Iowa_23
Colorado,"$9,419,879.00",,2022-23,Colorado_23
East Carolina,"$963,637.00",,2022-23,East_Carolina_23
James Madison,"$727,207.00",,2022-23,James_Madison_23
Toledo,"$999,862.00",,2022-23,Toledo_23
Eastern Michigan,"$560,655.00",,2022-23,Eastern_Michigan_23
Ball State,"$580,216.00",,2022-23,Ball_State_23
South Alabama,"$760,042.00",,2022-23,South_Alabama_23
Kent State,"$478,984.00",13,2022-23,Kent_State_23
Central Michigan,"$738,830.00",,2022-23,Central_Michigan_23
Southern Mississippi,"$528,556.00",,2022-23,Southern_Mississippi_23
Wyoming,"$1,953,571.00",,2022-23,Wyoming_23
"Louisiana, Lafayette","$1,544,474.00",13,2022-23,"Louisiana,_Lafayette_23"
Marshall,"$2,100,964.00",,2022-23,Marshall_23
Massachusetts,"$734,484.00",,2022-23,Massachusetts_23
Troy,"$402,184.00",,2022-23,Troy_23
App State,"$553,384.00",,2022-23,App_State_23
Utah State,"$1,932,881.00",10,2022-23,Utah_State_23
Old Dominion,"$1,711,582.00",,2022-23,Old_Dominion_23
San Jose State,"$249,297.00",,2022-23,San_Jose_State_23
UTEP,"$3,953,720.00",,2022-23,UTEP_23
Miami (Ohio),"$587,341.00",,2022-23,Miami_(Ohio)_23
Washington State,"$7,094,524.00",,2022-23,Washington_State_23
UTSA,"$395,532.00",,2022-23,UTSA_23
North Texas,"$697,558.00",,2022-23,North_Texas_23
Buffalo,"$818,210.00",,2022-23,Buffalo_23
Charlotte,"$706,523.00",,2022-23,Charlotte_23
Texas State,"$393,826.00",,2022-23,Texas_State_23
Akron,"$398,461.00",,2022-23,Akron_23
"Louisiana, Monroe","$407,093.00",,2022-23,"Louisiana,_Monroe_23"
Texas A&M,"$12,899,247.00",7,2022-23,Texas_A&M_23
Cincinnati,"$4,367,728.00",,2022-23,Cincinnati_23
Florida,"$12,908,581.00",,2022-23,Florida_23
Fresno State,"$1,597,468.00",,2022-23,Fresno_State_23
Middle Tennessee,"$737,789.00",,2022-23,Middle_Tennessee_23
Georgia Southern,"$409,099.00",,2022-23,Georgia_Southern_23
Coastal Carolina,"$138,500.00",,2022-23,Coastal_Carolina_23
Northern Illinois,"$517,765.00",,2022-23,Northern_Illinois_23
Bowling Green,"$1,068,288.00",,2022-23,Bowling_Green_23
Ohio,"$1,170,004.00",,2022-23,Ohio_23
Texas Tech,"$15,506,818.00",,2022-23,Texas_Tech_23
Houston,"$2,247,941.00",1,2022-23,Houston_23
Georgia State,"$133,513.00",,2022-23,Georgia_State_23
Ole Miss,"$12,092,919.00",,2022-23,Ole_Miss_23
Western Michigan,"$557,306.00",,2022-23,Western_Michigan_23
Louisiana Tech,"$1,058,640.00",,2022-23,Louisiana_Tech_23
New Mexico State,"$1,540,661.00",,2022-23,New_Mexico_State_23
